Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Full Link
spotify:track:3Um9toULmYFGCpvaIPFw7l,What's Going On,spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye,spotify:album:2v6ANhWhZBUKkg6pJJBs3B,What's Going On,spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye,https://i.scdn.co/image/ab67616d0000b273b36949bee43217351961ffbc,1,1,233000,https://p.scdn.co/mp3-preview/c041c704488808767e7195a99ba586e3b4da893a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,70,USMO17100041,https://open.spotify.com/track/3Um9toULmYFGCpvaIPFw7l
spotify:track:4N0TP4Rmj6QQezWV88ARNJ,Superstition,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,spotify:album:3PResMqFgQYBfzTnqTKwQw,Talking Book,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,https://i.scdn.co/image/ab67616d0000b273a14b08b9a6616e121df5e8b0,1,6,266133,https://p.scdn.co/mp3-preview/ee7c70dc3c3c53627f56bcff951da5831104e8e9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,USMO17200984,https://open.spotify.com/track/4N0TP4Rmj6QQezWV88ARNJ
spotify:track:0tOCULBiOd2RcRSM2kJNhr,Feelin' Stronger Every Day,spotify:artist:3iDD7bnsjL9J4fO298r0L0,Chicago,spotify:album:5qWGV0fd7hpdptJYI4G9Dd,Chicago IX: Chicago's Greatest Hits,spotify:artist:3iDD7bnsjL9J4fO298r0L0,Chicago,https://i.scdn.co/image/ab67616d0000b2730ac413b28547dbc45412a3ce,1,6,256773,https://p.scdn.co/mp3-preview/1d213c8100a4776616b201ff6aacde95f13bb3a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,43,USRH10904156,https://open.spotify.com/track/0tOCULBiOd2RcRSM2kJNhr
spotify:track:3PQLYVskjUeRmRIfECsL0X,No Woman No Cry,spotify:artist:2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,spotify:album:1d8lF3nZpEIFeEbWmAt9Ey,Natty Dread,spotify:artist:2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,https://i.scdn.co/image/ab67616d0000b273b5a0ee94e2741374ce5c71a2,1,2,226240,https://p.scdn.co/mp3-preview/c1f12b593b71296f4d6e3b5c4623ca0fb4ef02dd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,GBAAN7490002,https://open.spotify.com/track/3PQLYVskjUeRmRIfECsL0X
spotify:track:5VSAonaAPhhGn0G7hMYwWK,Sister Golden Hair,spotify:artist:35U9lQaRWSQISxQAB94Meo,America,spotify:album:6Ef4yClroC8pMGktYOUd5n,Hearts,spotify:artist:35U9lQaRWSQISxQAB94Meo,America,https://i.scdn.co/image/ab67616d0000b273697a6ee736a3c36177c4557d,1,10,199573,https://p.scdn.co/mp3-preview/050763f599850ea45013686326e5f3ae25b4ccf5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,USWB19901801,https://open.spotify.com/track/5VSAonaAPhhGn0G7hMYwWK
spotify:track:1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a,1,1,285133,https://p.scdn.co/mp3-preview/c2218bba50a716621add2095ecee716282ac3f5c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,USSM17600941,https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF
spotify:track:39iKJpLPhsDTOzH2lXliWF,(Your Love Has Lifted Me) Higher And Higher,spotify:artist:1vnIL4DMlivP55ioM6KitW,Rita Coolidge,spotify:album:3IcnPxM10hCMb6W2gCapAY,Anytime... Anywhere,spotify:artist:1vnIL4DMlivP55ioM6KitW,Rita Coolidge,https://i.scdn.co/image/ab67616d0000b27377835d4aad19f47457ea41bd,1,1,241720,https://p.scdn.co/mp3-preview/fadea925be6196b94477b1a5f460fd3737186973?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,50,USAM17700388,https://open.spotify.com/track/39iKJpLPhsDTOzH2lXliWF
spotify:track:2nmaEzFZrSm2aMLtfJDzyG,Werewolves of London,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,Warren Zevon,spotify:album:41u8E08e0jIP808qLi1GHB,A Quiet Normal Life: The Best of Warren Zevon,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,Warren Zevon,https://i.scdn.co/image/ab67616d0000b2731b68ea95d2884c556fe9ce4f,1,1,208173,https://p.scdn.co/mp3-preview/08f041a7bc1dc581bb3ad79fdf901a8f29ebe56a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,USEE19901101,https://open.spotify.com/track/2nmaEzFZrSm2aMLtfJDzyG
spotify:track:59CLe8stbcx4XYBWdsfbwK,One Way Or Another,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,Blondie,spotify:album:4M6s2jbhKWEcOdXZ8WiHts,Parallel Lines,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,Blondie,https://i.scdn.co/image/ab67616d0000b273ace2bedb8e6cfa04207d5c0f,1,2,217364,https://p.scdn.co/mp3-preview/4e2ee732bc738488dae8d5dc2a743f120b166633?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USCH38500014,https://open.spotify.com/track/59CLe8stbcx4XYBWdsfbwK
spotify:track:6ITuEsxEy2qPhqMowdDAeI,Train in Vain (Stand by Me) - Remastered,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,The Clash,spotify:album:6FCzvataOZh68j8OKzOt9a,London Calling (Remastered),spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,The Clash,https://i.scdn.co/image/ab67616d0000b273cd9d8bc9ef04014b6e90e182,1,19,194666,https://p.scdn.co/mp3-preview/419f5ebcb91feab398f94fcfc1ee608cf10cd8c1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,GBARL1200698,https://open.spotify.com/track/6ITuEsxEy2qPhqMowdDAeI
spotify:track:5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,spotify:album:4KKFWTePKtgb6mOwFDqxYa,Working Class Dog,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,https://i.scdn.co/image/ab67616d0000b2734a57b8b911a372d77dfc1ba7,1,2,194120,https://p.scdn.co/mp3-preview/e18b66bcab385437106462df1e1723f19620aef8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USRC18108188,https://open.spotify.com/track/5RsUlxLto4NZbhJpqJbHfN
spotify:track:6J2rMSRhgb4HuX6dWgM3nJ,I Melt with You,spotify:artist:0fYPQBOx0vsRMmjUba9HgF,Modern English,spotify:album:4vRPqgP624nl5Nupi3AxzZ,After the Snow,spotify:artist:0fYPQBOx0vsRMmjUba9HgF,Modern English,https://i.scdn.co/image/ab67616d0000b273277f9005d9c9475965086560,1,5,251573,https://p.scdn.co/mp3-preview/de5aef4c27978f4abeb1b4536aec1a1d21466b1d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,GBAFL8200036,https://open.spotify.com/track/6J2rMSRhgb4HuX6dWgM3nJ
spotify:track:0GTK6TesV108Jj5D3MHsYb,Owner of a Lonely Heart,spotify:artist:7AC976RDJzL2asmZuz7qil,Yes,spotify:album:6nNlTIiFd3J06W0rJiiwlz,90125 (Deluxe Version),spotify:artist:7AC976RDJzL2asmZuz7qil,Yes,https://i.scdn.co/image/ab67616d0000b273418e5dc6c0324f12a96e7aa7,1,1,268506,https://p.scdn.co/mp3-preview/9e5d2d1a4f4a6e47a35bb46988c85a9b9326de86?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,70,USAT20702539,https://open.spotify.com/track/0GTK6TesV108Jj5D3MHsYb
spotify:track:1ChulFMnwxoD74Me8eX2TU,You Spin Me Round (Like a Record),spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,spotify:album:5AMshCv0RIe2aO4XaQWhp4,Evolution: The Hits,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,https://i.scdn.co/image/ab67616d0000b273bd0c47e4cfb4ee327e53bc73,1,1,195146,https://p.scdn.co/mp3-preview/a936aaf117b8b9dc912da836fa657585eef7ba97?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,GBBBM8400015,https://open.spotify.com/track/1ChulFMnwxoD74Me8eX2TU
spotify:track:07CyrZF9eVd02zzIse7tZA,In Between Days - 2006 Remaster,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,spotify:album:4Uq47onfCEj5en94jpHovk,The Head on the Door (Deluxed Edition),spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,https://i.scdn.co/image/ab67616d0000b27396e854c582f5213d51793cc2,1,1,177986,https://p.scdn.co/mp3-preview/21569cc17cecfcfe601ead64427b705c5b220a0b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,USEE10608886,https://open.spotify.com/track/07CyrZF9eVd02zzIse7tZA
spotify:track:62LJFaYihsdVrrkgUOJC05,Kiss,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,Parade - Music from the Motion Picture Under the Cherry Moon,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38,1,10,226240,https://p.scdn.co/mp3-preview/978b9ddec8011f5d1919bb514338265df35697e3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,USWB19903319,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
spotify:track:7vbncEwhWfQes0OLEUeIxb,How Ya Like Me Now,spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,Kool Moe Dee,spotify:album:0V3b2bczRgZ4qrGq1L5BVI,How Ya Like Me Now (Expanded Edition),spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,Kool Moe Dee,https://i.scdn.co/image/ab67616d0000b27339471023171d93a19f1cc814,1,1,337333,https://p.scdn.co/mp3-preview/e519038849f250f2f601174ebd9bea4987b270d4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,42,USJI10300472,https://open.spotify.com/track/7vbncEwhWfQes0OLEUeIxb
spotify:track:7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,spotify:album:28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,1,9,356066,https://p.scdn.co/mp3-preview/92ac4ba7bc8ed36373b795b5b9ffe7e37468cc4f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,77,USGF18714809,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW
spotify:track:0s6e7ZafqOAUBDoQYGmxrc,Every Little Step,spotify:artist:62sPt3fswraiEPnKQpAbdE,Bobby Brown,spotify:album:44w4sVYJVQzhH2dN3IwyIK,Don't Be Cruel,spotify:artist:62sPt3fswraiEPnKQpAbdE,Bobby Brown,https://i.scdn.co/image/ab67616d0000b27353cf43170dc29787984cf6b4,1,6,237240,https://p.scdn.co/mp3-preview/5f81400298b14ac8d1fa986c7e0e81e36c711418?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USMC10000859,https://open.spotify.com/track/0s6e7ZafqOAUBDoQYGmxrc
spotify:track:51Gkc1TxvyQ9K8y0pQRmQM,Been Caught Stealing,spotify:artist:02NfyD6AlLA12crYzw5YcR,Jane's Addiction,spotify:album:7acrrQejzV4ybWWTM8TmPf,Ritual De Lo Habitual,spotify:artist:02NfyD6AlLA12crYzw5YcR,Jane's Addiction,https://i.scdn.co/image/ab67616d0000b273da80002f2d1a8d827c6aea54,1,5,213293,https://p.scdn.co/mp3-preview/f407c5775fc89dcb96696836c50e282b37712a39?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,USWB10902573,https://open.spotify.com/track/51Gkc1TxvyQ9K8y0pQRmQM
spotify:track:5r5uZvXHbE4X6CdhnSATtX,Can't Truss It,spotify:artist:6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,spotify:album:2UqKqZofb9pdapHk4HzRUo,Apocalypse 91… The Enemy Strikes Black,spotify:artist:6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,https://i.scdn.co/image/ab67616d0000b273c461ace44054d79bdd287c4e,1,4,321573,https://p.scdn.co/mp3-preview/56d08853e9d8712fd47af0cdd1ad6faae6129f7c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,44,USDJ29100004,https://open.spotify.com/track/5r5uZvXHbE4X6CdhnSATtX
spotify:track:6BRyzEf1HmV8Wn4RLsaGEg,Kill Your Television,spotify:artist:5AX02tEFl85gnqkvzqeltP,Ned's Atomic Dustbin,spotify:album:3jkqrE3ycfEY8088IZXcZZ,God Fodder,spotify:artist:5AX02tEFl85gnqkvzqeltP,Ned's Atomic Dustbin,https://i.scdn.co/image/ab67616d0000b273f7e7bfd6274ffc0a98aea41b,1,1,178226,https://p.scdn.co/mp3-preview/1f66ae422c6a1ba3a68d90c0e0a3255b66888bb0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,GBBBN0009271,https://open.spotify.com/track/6BRyzEf1HmV8Wn4RLsaGEg
spotify:track:5lHgBqh9VwAAzQma55gHRY,Elderly Woman Behind the Counter in a Small Town - Remastered,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,spotify:album:3BSOiAas8BpJOii3kCPyjV,Vs.,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,https://i.scdn.co/image/ab67616d0000b273777344aba9d5b5785b4593a5,1,10,196186,https://p.scdn.co/mp3-preview/8a7c7626c77cac8841ff575c54428d8235ccc781?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USSM11100221,https://open.spotify.com/track/5lHgBqh9VwAAzQma55gHRY
spotify:track:0dfQwyoZoS9LgQiU6AJO7f,100% Pure Love,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters,spotify:album:3u9FnafwttOYXAz9fznSAg,The Best Of Crystal Waters,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters,https://i.scdn.co/image/ab67616d0000b27394e92a1b79c5beec12942090,1,2,278626,https://p.scdn.co/mp3-preview/3026ab3f76ba2d87709a39c3190b6b2de5b50a97?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,USPR39400444,https://open.spotify.com/track/0dfQwyoZoS9LgQiU6AJO7f
spotify:track:1IsGA5ceSC4a5nxgAEYnQd,Only Happy When It Rains,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,Garbage,spotify:album:1Vze7jtjAVQOdIIQ8oO2X7,Garbage (20th Anniversary Deluxe Edition/Remastered),spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,Garbage,https://i.scdn.co/image/ab67616d0000b273da79cbc3b29d31b96ee3fc3d,1,3,236533,https://p.scdn.co/mp3-preview/26a2d72e262b89dab6b6d9ef078b7fce528fac5f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,USGF19500403,https://open.spotify.com/track/1IsGA5ceSC4a5nxgAEYnQd
