Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:5vB0cxSvzXuVh15EDD0Cej,Anthem,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,zebrahead,spotify:album:0mXXYSxmO3mHdTBrlgOFmZ,Broadcast to the World,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,zebrahead,2006,https://i.scdn.co/image/ab67616d0000b2737ee2be5c0cbbda05a5411644,1,3,213133,https://p.scdn.co/mp3-preview/0476ed43baf4d594fadfc6dc4a50ba9ac0b7f77c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,USTCZ0979587,spotify:user:jivedonut,2022-12-25T22:46:51Z
spotify:track:0hDQV9X1Da5JrwhK8gu86p,Maps,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,spotify:album:44ePwTuWK88vnalqutqJEG,Fever To Tell (Deluxe Remastered),spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,4/29/03,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,1,9,219986,https://p.scdn.co/mp3-preview/2cc795979153d2f154e8f74c7ae67f810c80a7a6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USIR10300259,spotify:user:jivedonut,2023-01-08T23:30:56Z
spotify:track:39eEVHdCHNTmfg1KzEDxvK,Mayor Of Simpleton - 2001 Remaster,spotify:artist:2qT62DYO8Ajb276vUJmvhz,XTC,spotify:album:3suXBde2fATz1UzA6f7UoA,Oranges & Lemons,spotify:artist:2qT62DYO8Ajb276vUJmvhz,XTC,1989,https://i.scdn.co/image/ab67616d0000b2735ff8da616a8e9d1243b106fd,1,2,238050,https://p.scdn.co/mp3-preview/2f83ddf9e51209e14e203d7f96b86df452eafe44?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,46,GBAAA0001106,spotify:user:jivedonut,2022-12-25T22:52:17Z
spotify:track:2XHjFJVXYlEzoDvN82h8s5,Rocky Mountain Way,spotify:artist:5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,spotify:album:6Sdkho6t0ure9XTzZXM2CK,"The Smoker You Drink, The Player You Get",spotify:artist:5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,6/18/73,https://i.scdn.co/image/ab67616d0000b2732df4d3c8c429700194bc0dfe,1,1,315400,https://p.scdn.co/mp3-preview/0cad997484fdb994d28081317d3bfdb81ab6a1bf?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USMC17344516,spotify:user:jivedonut,2023-06-28T12:36:35Z
spotify:track:3cMliO9emUSa4d1Ap2MbfW,Volcano Girls,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,Veruca Salt,spotify:album:5ZqOSlcQ0fA7MZOgvpOJT5,Eight Arms To Hold You,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,Veruca Salt,1/1/97,https://i.scdn.co/image/ab67616d0000b27380d0a4548d430c84888ef1cc,1,2,198933,https://p.scdn.co/mp3-preview/b5e1a26b4aed44bdbf9aa7c47af503b3d780d9bc?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,USOU19600101,spotify:user:jivedonut,2022-12-25T23:04:20Z
spotify:track:2AnTuxahfcAS7dGxGZnihY,Cantaloop (Flip Fantasia),"spotify:artist:4LtIfuFeAamus9OOItuWDD, spotify:artist:2cNCyL3WSlAatld5duatyD, spotify:artist:5A8UenAZRv51yZVv13nFQo","Us3, Rahsaan, Gerard Presencer",spotify:album:3lOv4MWFZGIJmHdyMXtlB5,Hand On The Torch,spotify:artist:4LtIfuFeAamus9OOItuWDD,Us3,1/1/93,https://i.scdn.co/image/ab67616d0000b273463e705f8cca3c5c5dcc208e,1,1,279360,https://p.scdn.co/mp3-preview/3bec1494568f1732c385ca7cc2f720c779ca5b02?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,USBN29300054,spotify:user:jivedonut,2022-12-25T23:12:11Z
spotify:track:6pmuu4qSz2WrtGkBjUfyuz,Birdhouse in Your Soul,spotify:artist:6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,spotify:album:7FwAtuhhWivxvK4aPgyyUD,Flood,spotify:artist:6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,1/2/90,https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539,1,2,198920,https://p.scdn.co/mp3-preview/d97d6d040bdb1c9782c100924a26f84c84ecc9a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USEE10181578,spotify:user:jivedonut,2023-02-02T01:18:30Z
spotify:track:15WWh0s2lB6kYryjjvNxTh,If I Can't Change Your Mind,spotify:artist:4DD6xBZ1INIT3yGJRQLzej,Sugar,spotify:album:4CWgGsxF6Xgiv2W1WwZSsI,Copper Blue (Deluxe Remaster),spotify:artist:4DD6xBZ1INIT3yGJRQLzej,Sugar,9/4/92,https://i.scdn.co/image/ab67616d0000b273304538c67d245768577837c2,1,7,198933,https://p.scdn.co/mp3-preview/0075df62ca5bfbbeada3c6729754c82a82e749e9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,40,USMRG1245107,spotify:user:jivedonut,2022-12-28T20:08:33Z
spotify:track:4OSbctVD37ycS0H3rwRm72,Prayer Of The Refugee,spotify:artist:6Wr3hh341P84m3EI8qdn9O,Rise Against,spotify:album:1VZ0i4vJ0AkPbmpuaktZMJ,The Sufferer & The Witness,spotify:artist:6Wr3hh341P84m3EI8qdn9O,Rise Against,1/1/06,https://i.scdn.co/image/ab67616d0000b27390fef039e01409cb5a8d560c,1,6,199386,https://p.scdn.co/mp3-preview/cea007c11b5c52d5053088770a81587f84c44914?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,USUM70603971,spotify:user:jivedonut,2023-06-28T12:36:48Z
spotify:track:76eqlAukVuAvxovEbCK3uh,Ladies First,"spotify:artist:5m7wCUhYhBh7A3A3YMxrbt, spotify:artist:7dupCiguCFkYZRisA3foPu","Queen Latifah, Monie Love",spotify:album:6Agl4DVuihiDPuxuN1L8Jv,All Hail the Queen,spotify:artist:5m7wCUhYhBh7A3A3YMxrbt,Queen Latifah,11/7/89,https://i.scdn.co/image/ab67616d0000b273683be10830a0928ba6c58aee,1,7,238693,https://p.scdn.co/mp3-preview/4fdabbfeb45b54c3d1ebf93707a311562966c981?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,41,USTB10250018,spotify:user:jivedonut,2023-02-18T16:08:22Z
spotify:track:6u91CCTziobh3twCDMBlEk,Rise,spotify:artist:70MMkLXtue3Edj3RJhJkYp,Public Image Ltd.,spotify:album:51UsBsFjLhVVTAa8xXmyI3,Public Image Ltd.,spotify:artist:70MMkLXtue3Edj3RJhJkYp,Public Image Ltd.,4/7/87,https://i.scdn.co/image/ab67616d0000b2736318f6d1514eb47e0bb3ae7c,1,2,378360,https://p.scdn.co/mp3-preview/43c9b77907deb443fa5b272fc5d1c092a50dca2f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,47,USEW20000116,spotify:user:jivedonut,2023-02-07T23:39:18Z
spotify:track:0L5oYrkC94ArMJDmjtvJWC,You're Not Alone,spotify:artist:0r2TmTSwK6XAhAxNxTDOb4,Olive,spotify:album:7KmNl25MQnnmcb6YfIT08V,Extra Virgin,spotify:artist:0r2TmTSwK6XAhAxNxTDOb4,Olive,9/4/97,https://i.scdn.co/image/ab67616d0000b27330629e5fd284ad0600fe7223,1,5,271026,https://p.scdn.co/mp3-preview/39d4c2eaa056d550b0047b9ffc17d7c869fad542?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,54,GBARL9600163,spotify:user:jivedonut,2023-06-28T12:37:10Z
,Let's Go (Nothing for Me),,New Order,,(the best of) New Order,,New Order,,,1,1,,https://www.youtube.com/watch?v=CPVB09_sDcc,,,,,
spotify:track:3sUR3mwhuCFmY43kAsHQRx,Pop Muzik,"spotify:artist:4ZYjW9vY2BTk1er3xomkwI, spotify:artist:5UQO8IQ2YE4eRUrGtHygB8","M, Robin Scott",spotify:album:4oJwcThdweLOD43cUhWl68,Pop Muzik,"spotify:artist:4ZYjW9vY2BTk1er3xomkwI, spotify:artist:5UQO8IQ2YE4eRUrGtHygB8","M, Robin Scott",6/3/22,https://i.scdn.co/image/ab67616d0000b273fade028041191869db8a00d9,1,1,200682,https://p.scdn.co/mp3-preview/981ac578f71bcc13a85cf7cb2ee529174565cbf6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,47,GB5KW1900117,spotify:user:jivedonut,2023-01-11T17:49:31Z
spotify:track:3z5ggGtcs4t8pizW521gW9,Pretend We're Dead,spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h,L7,spotify:album:0z7Dc7FRsDH7E4kj32mKyM,Bricks Are Heavy,spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h,L7,1992,https://i.scdn.co/image/ab67616d0000b273946c2a344a47393f80170cdc,1,3,235093,https://p.scdn.co/mp3-preview/ee3c937dfd7038fa87dad4ec89c2ecb8060ba830?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USRH10901858,spotify:user:jivedonut,2023-06-28T12:38:07Z
spotify:track:3puPysmmBdXYttI2HoyXOr,Do It Again,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,The Kinks,spotify:album:2nMNDiKyk9LZUG1ja1UZUV,Word of Mouth,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,The Kinks,11/19/84,https://i.scdn.co/image/ab67616d0000b2731fabaaf07d4da179aa7a844c,1,1,248560,https://p.scdn.co/mp3-preview/5d42923cafb913b570ed327d93228446cd7c9cf4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,34,USQX91400425,spotify:user:jivedonut,2023-06-28T12:38:27Z
spotify:track:2KY0QUeRY3IPuJI1gyU9BJ,Steppin' Out,spotify:artist:6KOqPxwfNAmZPkiCnDE9yT,Joe Jackson,spotify:album:01sMJCr0xosXP8uZ2djLvd,Night And Day,spotify:artist:6KOqPxwfNAmZPkiCnDE9yT,Joe Jackson,1/1/82,https://i.scdn.co/image/ab67616d0000b2738caf2c8facd9a38850626b80,1,5,268200,https://p.scdn.co/mp3-preview/a8756c5f1adc3879b923ef47df631cfe0403b7ad?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,GBAAM8200001,spotify:user:jivedonut,2023-06-28T12:38:39Z
spotify:track:04EnF5C2HvYZfGu64Bng7I,What You Need,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,INXS,spotify:album:1U6tgUieq2uuKip6DVxM31,Listen Like Thieves,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,INXS,10/14/85,https://i.scdn.co/image/ab67616d0000b27300b46dd30f1a5ef81da8111d,1,1,214000,https://p.scdn.co/mp3-preview/7315aa524bd9dada8b182969d8f7815a7617d112?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,54,USAT29901626,spotify:user:jivedonut,2023-06-28T12:38:53Z
spotify:track:4Ce66JznW8QbeyTdSzdGwR,Chameleon,spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,spotify:album:5fmIolILp5NAtNYiRPjhzA,Head Hunters,spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,10/26/73,https://i.scdn.co/image/ab67616d0000b2736b75d57d2d070c0c4afb3f9a,1,1,941360,https://p.scdn.co/mp3-preview/b377de79d3feccc6b10115659358cec4f0a70375?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,USSM17300165,spotify:user:jivedonut,2023-05-05T13:33:31Z
spotify:track:2zFdsAIk9r2Mi7Lmm1w3sM,That's All - 2007 Remaster,spotify:artist:3CkvROUTQ6nRi9yQOcsB50,Genesis,spotify:album:6BX8AS7J97PSQNrteX325Z,Genesis (2007 Remaster),spotify:artist:3CkvROUTQ6nRi9yQOcsB50,Genesis,10/3/83,https://i.scdn.co/image/ab67616d0000b273945c366eda66495226e4a46d,1,2,264573,https://p.scdn.co/mp3-preview/d12586943daa80389c4344c0f57bdb626a503962?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,GBAAA0700785,spotify:user:jivedonut,2023-05-14T16:54:37Z
spotify:track:4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,spotify:artist:3v4feUQnU3VEUqFrjmtekL,Faces,spotify:album:4eTVgxB6wm5eGvesA4cUN5,Ooh La La,spotify:artist:3v4feUQnU3VEUqFrjmtekL,Faces,1973,https://i.scdn.co/image/ab67616d0000b273416f18056ac5d7281d8a5878,1,10,214080,https://p.scdn.co/mp3-preview/f0ae2501ac78ddb4351828e8f4f480c5a46773b8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,USWB10104988,spotify:user:jivedonut,2023-03-25T22:27:40Z
spotify:track:4UtG2YGIpQIR9QFDXxJQFr,Get the Message - 2013 Remaster,spotify:artist:3xYNGCooNIzKMAtJYKSOyq,Electronic,spotify:album:1vGrQ0is3Avh0bZSI7T6L1,Electronic (Special Edition),spotify:artist:3xYNGCooNIzKMAtJYKSOyq,Electronic,1991,https://i.scdn.co/image/ab67616d0000b273101a799a46345044217665a7,1,8,320706,https://p.scdn.co/mp3-preview/e21aa282fd51f0981d652f010b0c5a55796edb99?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,40,GBCBN1200008,spotify:user:jivedonut,2023-06-28T12:39:06Z
spotify:track:2rqVAj02zaRGkNq6CR97nH,Freedom of Choice,spotify:artist:0UKfenbZb15sqhfPC6zbt3,DEVO,spotify:album:6UsP4NQ9K4L4Nqxj0Qis41,Freedom of Choice,spotify:artist:0UKfenbZb15sqhfPC6zbt3,DEVO,1980,https://i.scdn.co/image/ab67616d0000b273f4f1f36551dd41c5442c2a2f,1,6,208560,https://p.scdn.co/mp3-preview/a96d3385fe682904709a47760bdc4ef83165b28d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,44,USWB10000037,spotify:user:jivedonut,2023-06-28T12:44:35Z
spotify:track:21gRGP5LdIgto8sznRZ7xz,Teen Angst (What The World Needs Now),spotify:artist:0ODQJS4mk7rVBJXjdqByX6,Cracker,spotify:album:2r1yuRwAB0kmidzNuuNmdp,Cracker,spotify:artist:0ODQJS4mk7rVBJXjdqByX6,Cracker,1/1/92,https://i.scdn.co/image/ab67616d0000b27364e60737481fa6ec6f6e2816,1,1,254400,https://p.scdn.co/mp3-preview/3b6afad01aca78a13a134769b29e2c41195385d3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,50,USVI29200011,spotify:user:jivedonut,2023-06-28T12:44:48Z
spotify:track:4gTMIyJJlSuB5BOhbMri6B,Rush,spotify:artist:7hqZBHSgDs1odG9aupMzEI,Big Audio Dynamite,spotify:album:7bhRilzc9srMwwkJQc3o0e,The Globe,spotify:artist:7hqZBHSgDs1odG9aupMzEI,Big Audio Dynamite,7/16/91,https://i.scdn.co/image/ab67616d0000b27336acf9e921c97613536b4174,1,1,257133,https://p.scdn.co/mp3-preview/b827cc736418564e6ed1a93933db049e6ccb0001?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,USSM19917648,spotify:user:jivedonut,2023-06-28T12:45:01Z
spotify:track:1TDk2Jmi4dVZhm2dum3Jim,Cochise,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,Audioslave,spotify:album:78guAsers0klWl6RwzgDLd,Audioslave,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,Audioslave,11/17/02,https://i.scdn.co/image/ab67616d0000b273a7292b6863258e889b78d787,1,1,222026,https://p.scdn.co/mp3-preview/7f8318da7b43c860c850cb10f3f0faaa9b648801?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,USSM10211584,spotify:user:jivedonut,2023-06-28T12:45:14Z